,Sentences
0,  2 start restaurants with inside dining
1,  34
2,  5 star resturants in my town
3,  98 hong kong restaurant reasonable prices
4,  a great lunch spot but open till 2 a m passims kitchen
5,  a place that serves soft serve ice cream
6,  a restaurant that is good for groups
7,  a salad would make my day
8,  a smoothie would hit the spot
9,  a steak would be nice
10,  a sub place near independence boulevard
11,  about how much is a midpriced bottle of good wine at davidos italian palace
12,  about how much will it cost to eat at johns pizza cafe for dinner per person
13,  adress of the nearest cracker barrel
14,  after hour dining
15,  all i want is a bagel and coffee can you direct me
16,  all i want is salmon
17,  all i want is some fresh fruits where is the nearest supermarket
18,  all i want is some good chili can you help me find that
19,  along my route tell me the next steak house that is within a mile
20,  alot of parking indian food
21,  although a good burger would be good time for burger king
22,  am i ablle to get a reservation at mcdills tonight
23,  american style restaurants reviews
24,  anniversary dinner
25,  any 50s style diners around
26,  any bars around that are open before 11 a m
27,  any beanery restaurants at the north end
28,  any beanery restaurants on westborough
29,  any beef cuisine restaurants with brewpub and great prices
30,  any buffet style restaurant in my area
31,  any business eateries with great portions
32,  any busy restaurants around here
33,  any cali eateries open at 11 am
34,  any chance i can get a reservation at that fine dining place thats the top rated on tripadvisor
35,  any cheap places on middleboro
36,  any cheap restaurants open before 8 a m
37,  any cheap spanish places
38,  any crowd pleasing restaurants around here
39,  any deli with catering services
40,  any family restaurant nearby
41,  any fast food nearby
42,  any fast food places open this late
43,  any fast food restaurants nearby
44,  any fastfood nearby
45,  any food low fat food resteraunt
46,  any food within 5 miles
47,  any german cuisine diners around with no smoking permitted
48,  any good ice cream places around
49,  any good steak houses around me
50,  any ihops around
51,  any inernational brownies around here
52,  any kid friendly restaurants around here
53,  any late night diners featuring sake
54,  any nice dine in restaurants next to here
55,  any nicely priced places in harvard with nice toppings
56,  any of the landrys restaurants offer carry out until at least 9 pm
57,  any pho hoa restaurants with late night dining
58,  any place around that serves sandwichs on their lunch menu
59,  any place around that serves vegan food options
60,  any place good to eat nearby
61,  any place to eat nearby that takes travelers checks
62,  any places along this road serve chips
63,  any places in harvard square where i can get potato pie and see some celebrities
64,  any reasonable priced chowder restaurants offering group dining
65,  any restaurant close by that serves vegan dish and its affordable
66,  any restaurant that opens 24 hours
67,  any restaurants around featuring brunch on hovendon avenue
68,  any restaurants around four miles from here with private rooms
69,  any restaurants around government center with great prices
70,  any restaurants around sacramento with fireplace and great atmosphere
71,  any restaurants around that serve organic foods
72,  any restaurants take checks
73,  any restaurants that serve french fries and have a patio nearby
74,  any southwestern cuisine restaurants featuring romantic dining nearby
75,  any spanish restaurants in jamaica plain open in the morning
76,  any suggestions on what to eat
77,  any tapas places with drink specials
78,  any unique foods here
79,  anybody serve boardwalk fries around here
80,  anyplace i can get some good pita bread thats not more than 4 miles out
81,  anything good to eat within 10 miles
82,  anything with group seating
83,  anywhere i can get a tasty and cheap noodle dish
84,  anywhere thats not crowded before the game where i can get a bite
85,  apple bs resturant in town
86,  arabic cuisine near me
87,  are any doughnut shops open right now
88,  are any vegetarian restaurants within 5 blocks of here
89,  are children allowed in mi piacis
90,  are rivertown coffee co or aromas coffee bar expensive
91,  are sebastians restaurants portions big
92,  are than any sushi restaurants on the north side of town and i need to know their phone number and directions
93,  are the any vegetarian restaurants in cleveland park
94,  are the proportions big or small
95,  are the reviews good for chichis in gona
96,  are the reviews good for donovans rooftop grill
97,  are the servers attractive
98,  are their any places to eat near my location
99,  are there affordable restaurants in kingston open until 11 pm
100,  are there any 24 hour diners around here
101,  are there any 24 hour diners near by
102,  are there any 24 hour restaurants nearby
103,  are there any 4 star seafood restaurants within 10 miles
104,  are there any 5 star restaurants near
105,  are there any affordable meat serving venues within five miles of here
106,  are there any affordable steak places in littleton
107,  are there any all you can eat sushi buffets in westbury
108,  are there any american restaurants in area
109,  are there any american restaurants that are also carry out
110,  are there any arbys in this area
111,  are there any arbys with in ten miles of here
112,  are there any asian restaurants close by
113,  are there any authentic greek restaurants that serve gyros around here
114,  are there any authentic vietnamese restaurants in the area that specialize in regional dishes
115,  are there any bob evans restaurants around this late at night that can wait on us quickly
116,  are there any breakfast places that serve steak near elm park
117,  are there any brewery in the area
118,  are there any brewpubs on our route
119,  are there any buffets in town with a smoking section
120,  are there any buffets within 2 miles of here
121,  are there any burger joints in atlanta that are open after midnight
122,  are there any burger joints in the area
123,  are there any burger king restaurants on my route
124,  are there any burger kings near by
125,  are there any burger kings nearby
126,  are there any burger kings within 5 miles
127,  are there any burger kings within 5 miles of here
128,  are there any burgers and cupcakes locations outside of manhattan
129,  are there any byob joints on chester st
130,  are there any cafes open past 11 pm which have internet access
131,  are there any casual patio type dining places nearby
132,  are there any celebrity hangouts that serve german food near here
133,  are there any chain restaurants nearby where kids eat free
134,  are there any charming non smoking ice cream parlors nearby
135,  are there any cheap 4 star restaurants near here
136,  are there any cheap burger places in this neighborhood
137,  are there any cheap cafes near here
138,  are there any cheap colombian restaurants around 3 rd street
139,  are there any cheap cuban joints along terminal road
140,  are there any cheap cuban restaurants nearby
141,  are there any cheap family style restaurants open after 12 pm nearby
142,  are there any cheap halal places around here with good views
143,  are there any cheap places to eat nearby
144,  are there any cheap restaurants near canton
145,  are there any chilean restaurants with live music on the south side
146,  are there any chilis in my area
147,  are there any chinese restaurant within 10 miles
148,  are there any chinese restaurants around here
149,  are there any chinese restaurants nearby
150,  are there any chinese restaurants nearby with a historical design
151,  are there any chinese restaurants on east 86th street in manhattan where i can get takeout lunch specials
152,  are there any chinese restaurants that serve carry out in this city
153,  are there any cicis pizza near the hotel
154,  are there any completely vegan restaurants around here
155,  are there any cuban restaurants in this city
156,  are there any cuban restaurants near milford
157,  are there any cuban restaurants open at 2 pm for a late lunch in miami
158,  are there any delis along my route
159,  are there any delis near by
160,  are there any delis nearby
161,  are there any denneys restaurants in this town
162,  are there any dennys within 5 miles
163,  are there any dessert bars in san francisco
164,  are there any diners along my route
165,  are there any diners in the area
166,  are there any diners near my current location
167,  are there any diners nearby
168,  are there any diners open before 5 am that allow smoking
169,  are there any diners that serve breakfast all day in town
170,  are there any diners within 5 miles
171,  are there any donut shops around here
172,  are there any drive throughs nearby
173,  are there any eateries nearby that where can dine at the bar after 2 am
174,  are there any elegant dress restaurants that serve messy hot wings after midnight
175,  are there any ethiopian restaurants in town
176,  are there any ethiopian restaurants on the waterfront
177,  are there any expensive great restaurants in my town
178,  are there any expensive restaurants nearby that allow children
179,  are there any fairly inexpensive restaurants with valet parking
180,  are there any family dining restaurants close by with great prices
181,  are there any family friendly sit down restaurants in this mall
182,  are there any family restaurants open at 4 am on weekdays
183,  are there any family style steakhouses within a mile of here
184,  are there any famous or historical restaurants in the area
185,  are there any fast food places open
186,  are there any fast food places within a mile of me
187,  are there any fast food restaurants along my route
188,  are there any fast food restaurants close by
189,  are there any fast food restaurants in the area
190,  are there any fast food restaurants offering valet parking
191,  are there any fast food restaurants open now
192,  are there any fast food restaurants still open
193,  are there any fast food restaurants with a parking deck nearby
194,  are there any fine dining restaurants nearby that accept paypal as payment
195,  are there any fine dining restaurants that allow me to eat my elegant meal in my car within 10 miles of here
196,  are there any fine dining restaurants that i can take a date to without a reservation
197,  are there any fine dining restaurants thats arent downtown
198,  are there any first rate indian restaurant that serves curry in the governement center
199,  are there any first rate restaurant on the waterfront
200,  are there any five star restaurants in this area
201,  are there any food trucks in the downtown area
202,  are there any free standing cinnabon restaurants in washington dc
203,  are there any french restaurants around here
204,  are there any full service restaurants open after midnight around here
205,  are there any german food restaurants within 4 miles
206,  are there any german restaurants nearby
207,  are there any german restaurants nearby that celebs hangout at
208,  are there any german restaurants that are open all day in ashland
209,  are there any good burger joints around here
210,  are there any good delis in little china
211,  are there any good mexican restaurants near tuscon
212,  are there any good pizza places around here
213,  are there any good places to drink nearby i need a bar thats still open at this hour if you dont know the hours of operation give me a phone number so i can check
214,  are there any good places to eat in the area
215,  are there any good places with fresh seafood around here
216,  are there any good potato places near north quincy
