,Sentences
0,  a four star restaurant with a bar
1,  any asian cuisine around
2,  any bbq places open before 5 nearby
3,  any dancing establishments with reasonable pricing
4,  any good cheap german restaurants nearby
5,  any good ice cream parlors around
6,  any good place to get a pie at an affordable price
7,  any good vegan spots nearby
8,  any mexican places have a tameles special today
9,  any place along the road has a good beer selection that also serves ribs
10,  any places around here that has a nice view
11,  any reasonably priced indian restaurants in the theater district
12,  any restaurants open right now
13,  any restaurants that still allow smoking
14,  any stores around where i could buy a pasta dish where the prices are not too high
15,  anything on the avenue
16,  anything open after midnight with reasonable prices
17,  are children allowed in this particular sitting area
18,  are reservations available for four people for 8 pm tonight at 112 eatery
19,  are the portion at le bec fin large or very small
20,  are there any 24 hour breakfast places nearby
21,  are there any 50s style diners in glendale
22,  are there any authentic mexican restaurants in the area
23,  are there any bars nearby that serve food like italian or french
24,  are there any brewpubs downtown
25,  are there any cafeterias near
26,  are there any charlestown restaurants open very early for lunch
27,  are there any chick fil as in the city open on sunday
28,  are there any chicken wing places nearby
29,  are there any child friendly restaurants within ten miles
30,  are there any chinese restaurants near cheyenne
31,  are there any crab restaurants near here that are open late until 2 a m
32,  are there any dining specials at le bec fin
33,  are there any donut and donuts within 5 minutes drive that has an extensive beer menu
34,  are there any eatery at the hotel downtown
35,  are there any exciting joints along the way thats reasonably priced
36,  are there any fancy cambodian places on seaver street
37,  are there any fast food joints east of here
38,  are there any fast food restaurants that are kid friendly
39,  are there any fine dining options within 5 miles of my location
40,  are there any five star restaurants around here
41,  are there any four star restaurants in this town
42,  are there any fun restaurants serving brisket in town
43,  are there any good family style restaurants around boston
44,  are there any good soul food restaurants near by
45,  are there any greek restaurants in the area
46,  are there any greek restaurants in the theater district of the back bay
47,  are there any hamburger restaurants close by
48,  are there any hotels nearby that have private rooms available at 1 am
49,  are there any ice cream shops in my neighborhood that are open right now
50,  are there any indian restaurants on long island
51,  are there any italian eateries nearby
52,  are there any japanese restaurants in town that do discounts for bulk orders of sushi
53,  are there any jazz clubs that serve food
54,  are there any kid friendly restaurants close by
55,  are there any kid friendly restaurants with valet parking
56,  are there any locally owned franchises that give money to charity
57,  are there any maid cafe in town
58,  are there any mcdonalds that i can drive too in 3 minutes
59,  are there any mid priced restaurants within 5 miles that offer curb side pickup
60,  are there any nationally known chefs with restaurants in this city
61,  are there any new restaurants nearby that i can try
62,  are there any nice taco places nearby open for breakfast
63,  are there any place close by that is open 24 hours
64,  are there any places around here that has tomato sauce based dishes
65,  are there any places left that allow smoking in a restaraunt
66,  are there any places near by that sell hamburgers and pizza
67,  are there any places near by that serve lunch all day
68,  are there any places to eat in the area that offer a two for one special
69,  are there any places with a notable beer list on white st
70,  are there any reasonably priced restaurants on east haverhill street that serve cheese
71,  are there any restaurant nearby that serve thai food
72,  are there any restaurants around with a smoking area
73,  are there any restaurants for diabetics that serve sugar free desserts
74,  are there any restaurants nearby that have great reviews and plenty of parking
75,  are there any restaurants nearby that have outdoor dining
76,  are there any restaurants on kilmarnock street that feature large portions and a brewpub
77,  are there any restaurants on the way that serve hamburgers and are open after 1 am
78,  are there any restaurants on the way to my destination that have a fireplace inside
79,  are there any restaurants on this side of the river
80,  are there any restaurants open after 2 am
81,  are there any restaurants that are open 24 hours
82,  are there any restaurants that serve raw and organic food nearby
83,  are there any restaurants that will let me take my dog in with me
84,  are there any restaurants with happy hour in the area
85,  are there any restaurants with valet parking and a multilingual staff near here
86,  are there any restaurants within 5 miles that accept travelers checks
87,  are there any rib joints nearby
88,  are there any seafood restaurants near government center where i can make online reservations
89,  are there any spanish restaurants that are cheap
90,  are there any steak houses within 3 miles of me
91,  are there any sub sandwich shops that also serve beer
92,  are there any sushi restaurants near colonel bell drive
93,  are there any tapas restaurants with good reviews nearby
94,  are there any turkish restaurants in florida
95,  are there any vegan spots that are open after 11 at night
96,  are there any vegetarian restaurants in this town
97,  are there any vegetarian restaurants that allow you to order online ahead of time
98,  are there any vietnamese restaurants nearby
99,  are there are any cracker barrells on long island
100,  are there reservations still available for bar la grassa for 2 tomorrow at 7 pm
101,  areas that allow smoking
